;Unnamed: 0;loc_for_geocoding;Street;Numbers;Toponyms;full_street_name;location_options;addr_to_geocode;only_full_street_name;Location;geometry;date;text;label_cat;loc_dist;source;source_cf;index_right;NAME
71947;71947;Херсонская ул;херсонская;;улица;Херсонская улица  Санкт-Петербург Россия;['Херсонская улица  Санкт-Петербург Россия'];Херсонская улица  Санкт-Петербург Россия;Херсонская улица;Херсонская улица, Пески, округ Смольнинское, Санкт-Петербург, Северо-Западный федеральный округ, 191317, Россия;POINT (30.38916732130832 59.92641146636259);2022-05-11;Добрый день, уважаемая Администрация. По указанному адресу провалилась плитка, фото прилагается;Дороги;Центральный;ПОС;1;29.0;Смольнинское
71951;71951;Суворовский пр-т 62;суворовский;62;;Суворовский проспект 62 Санкт-Петербург Россия;['Суворовский проспект 62 Санкт-Петербург Россия'];Суворовский проспект 62 Санкт-Петербург Россия;Суворовский проспект;62, Суворовский проспект, Пески, округ Смольнинское, Санкт-Петербург, Северо-Западный федеральный округ, 191124, Россия;POINT (30.38911243397979 59.94607355);2022-05-11;1-я парадная,2,3 и 4 этажи.висят оголённые провода,открытая/сломанная распределительная коробка,открыта щитовая и висят провода.;Энергетика;Центральный;ПОС;1;29.0;Смольнинское
71966;71966;Шушары Валдайская ул 6к2;валдайская;6к2;улица;Валдайская улица 6к2 Санкт-Петербург Россия;['Валдайская улица 6к2 Санкт-Петербург Россия'];Валдайская улица 6к2 Санкт-Петербург Россия;Валдайская улица;6 к2 с1, Валдайская улица, Шушары, Санкт-Петербург, Северо-Западный федеральный округ, 196626, Россия;POINT (30.37771964084983 59.802349449999994);2022-05-11;"Добрый день! с 20 октября 2021 года в квартире 1120 по адресу: г. Санкт-Петербург, п. Шушары, ул. Валдайская, д. 7, к. 2, стр. 1 произошла первая протечка воды со стороны улице по причине нарушения гидроизоляции здания, что подтвердила ""УК технопарк №1"". Данные протечки происходят регулярно в момент выпадения сильных осадков. В следствии чего пострадала часть жилой комнаты: - стены (намокли и отслоились обои; осыпалась штукатурка; намок гипсокартон) - потолок (плесень на поверхности натяжного потолка) - пол (намок паркет, в следствии чего деформировался внешний слой ) В связи с данной ситуацией 21.10.2022 было подано заявление о данной проблеме в ""УК технопарк 1"", на основании которого был произведен осмотр и составлен акт №108 от 28.10.2021., но это заявление было утеряно, поэтому 20.12.2021 г. было подано повторное заявление с исх. №103/22, которое ""УК технопарк №1 ""направило застройщику ""Петрострой"" т.к. дом находится на гарантии до 2025 года. На данный момент ""УК технопарк №1"" перекидывает обязанности на застройщика ""Петрострой"" и утверждает, что средства на устранение данной проблемы нет, также проходит судебное дело между ""УК технопарк №1"" и застройщиком ""Петрострой"", т.к. такая же проблема происходит по всему дому и в соседнем тоже. Прошу вашей помощи и содействия в данной ситуации для скорейшего её решения, т.к. чем дольше затягивается процесс, тем больше производится ущерб зданию и личным квартирам К данному письму прилагаю фотографии и видеофайлы для подтверждения выше сказанного";ЖКХ;Пушкинский;ПОС;1;23.0;Шушары
71968;71968;Тореза пр-т 104к3;тореза;;;проспект Тореза  Санкт-Петербург Россия;['проспект Тореза  Санкт-Петербург Россия'];проспект Тореза  Санкт-Петербург Россия;проспект Тореза;проспект Тореза, Лесной, округ Светлановское, Санкт-Петербург, Северо-Западный федеральный округ, 194223, Россия;POINT (30.343719 60.0127731);2022-05-11;После свалки снега на газон в зимнее время , когда все растаяло то обнаружились на газоне « грибки» которые раньше лежали у помойки препятствуя хаотичной парковке.;Отходы;Выборгский;ПОС;1;66.0;Светлановское
71971;71971;Есенина ул 32к1;есенина;;улица;улица Есенина  Санкт-Петербург Россия;['улица Есенина  Санкт-Петербург Россия'];улица Есенина  Санкт-Петербург Россия;улица Есенина;улица Есенина, Шувалово-Озерки, округ Сергиевское, Санкт-Петербург, Северо-Западный федеральный округ, 194295, Россия;POINT (30.338279597411777 60.04695236003542);2022-05-11;Между домами 32к1 и 32к2 по ул. Есенина наклонилось дерево, не пройти, может упасть;Благоустройство;Выборгский;ПОС;1;74.0;Парнас
71974;71974;Фарфоровская ул 20;фарфоровская;20;улица;Фарфоровская улица 20 Санкт-Петербург Россия;['Фарфоровская улица 20 Санкт-Петербург Россия'];Фарфоровская улица 20 Санкт-Петербург Россия;Фарфоровская улица;20, Фарфоровская улица, Щемиловка, Ивановский округ, Санкт-Петербург, Северо-Западный федеральный округ, 192171, Россия;POINT (30.433611601171847 59.87918474999999);2022-05-11;Капитальный ремонт электроснабжения дома затянулся на 3 месяца и не завершён. Работы частично выполнены, остальные работы на данный момент остановлены. По плану работы должны были завершиться в конце апреля, с чистовой обработкой всего разбитого и разрушенного (лестничной площадки, стены) Грязь, пыль в подъездах. Когда закончится это безобразие????;ЖКХ;Невский;ПОС;1;91.0;Ивановский
71979;71979;2-ой Муринский пр-т 15;муринский;15;;Муринский мост 15 Санкт-Петербург Россия;['Муринский мост 15 Санкт-Петербург Россия'];Муринский мост 15 Санкт-Петербург Россия;Муринский мост;Муринский мост, деревня Новая, округ Полюстрово, Санкт-Петербург, Северо-Западный федеральный округ, 188669, Россия;POINT (30.461860299999998 60.025760500000004);2022-05-11;Сломано спорт оборудование на площадке по адресу: 2-Муринский , д.15 .;Благоустройство;Выборгский;ПОС;1;95.0;Полюстрово
71980;71980;Захаржевская ул 6А;захаржевская;6А;улица;Захаржевская улица 6А Санкт-Петербург Россия;['Захаржевская улица 6А Санкт-Петербург Россия'];Захаржевская улица 6А Санкт-Петербург Россия;Захаржевская улица;ТП-249, 6а лит. А, Захаржевская улица, София, Пушкин, Санкт-Петербург, Северо-Западный федеральный округ, 196602, Россия;POINT (30.41275351809091 59.707948200000004);2022-05-11;Постоянная загаженность пластиком, остатками органики части двора по адресу Захаржевская 6а;Отходы;Пушкинский;ПОС;1;45.0;Пушкин
71982;71982;Горная ул 5;горная;5;улица;Горная улица 5 Санкт-Петербург Россия;['Горная улица 5 Санкт-Петербург Россия'];Горная улица 5 Санкт-Петербург Россия;Горная улица;5, Горная улица, Пязелево, Павловск, Санкт-Петербург, Северо-Западный федеральный округ, 188322, Россия;POINT (30.40786145 59.665219);2022-05-11;Санкт-Петербург, г. Павловск, улица Горная дом 5. Территория не убирается, валяется мусор, дворники на замечания не реагируют. Так же в районе 5 и 6 домостояли деревянные постройки, в 2021 году они были снесены, но их только снесли, а развалы и мусор теперь лежат,;Отходы;Пушкинский;ПОС;1;73.0;Павловск
71983;71983;Софийская ул 31;софийская;31;улица;Софийская улица 31 Санкт-Петербург Россия;['Софийская улица 31 Санкт-Петербург Россия'];Софийская улица 31 Санкт-Петербург Россия;Софийская улица;31, Софийская улица, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192241, Россия;POINT (30.398090893497617 59.876605749999996);2022-05-11;Мусор на улице: Софийская дом 31;Отходы;Фрунзенский;ПОС;1;88.0;№ 72
71985;71985;Ткачей ул 46;ткачей;46;улица;улица Ткачей 46 Санкт-Петербург Россия;['улица Ткачей 46 Санкт-Петербург Россия'];улица Ткачей 46 Санкт-Петербург Россия;улица Ткачей;46 литЕД, улица Ткачей, Смоленское, округ Невская застава, Санкт-Петербург, Северо-Западный федеральный округ, 192029, Россия;POINT (30.423049539880946 59.8905051);2022-05-11;По улице ткачей, 46 в 4 парадной не работает освещение. Уже неделя! По данному телефону 4254092,4542232 не поднимают трубку телефона . Хоть написано круглосуточно .(;ЖКХ;Невский;ПОС;1;43.0;Невская застава
71987;71987;Танкистов ул 28;танкистов;28;улица;улица Танкистов 28 Санкт-Петербург Россия;['улица Танкистов 28 Санкт-Петербург Россия'];улица Танкистов 28 Санкт-Петербург Россия;улица Танкистов;улица Танкистов, 28, улица Танкистов, Колпино, Санкт-Петербург, Северо-Западный федеральный округ, 196650, Россия;POINT (30.5602182 59.7445392);2022-05-11;Повторно обращаю ваше внимание на контейнеры, стоящие на газоне, мусором в результате засорён весь газон у дома. Фото сделано 8 мая 2022 года;Отходы;Колпинский;ПОС;1;106.0;Колпино
71989;71989;Шишкина ул 25б;шишкина;25б;улица;улица Шишкина 25б Санкт-Петербург Россия;['улица Шишкина 25б Санкт-Петербург Россия'];улица Шишкина 25б Санкт-Петербург Россия;улица Шишкина;улица Шишкина, Заманиловка, Парголово, Санкт-Петербург, Северо-Западный федеральный округ, 194362, Россия;POINT (30.304996782552205 60.081370756151266);2022-05-11;Не вывозится крупный мусор, месяцами. Помойка находится на улице Шишкина, между домами 256 и 262, пос. Парголово. Бачки вывозят регулярно, но крупный мусор лежит месяцами. В итоге уже образовалась свалка. Оператор на жалобы не реагирует.;Отходы;Выборгский;ПОС;1;30.0;Парголово
71991;71991;Синопская ул 32/35;синопская;;улица;Синопская набережная  Санкт-Петербург Россия;['Синопская набережная  Санкт-Петербург Россия'];Синопская набережная  Санкт-Петербург Россия;Синопская набережная;Синопская набережная, Пески, округ Смольнинское, Санкт-Петербург, Северо-Западный федеральный округ, 191317, Россия;POINT (30.388767226571964 59.929411337924364);2022-05-11;Сломаны почтовые ящики Синопская 32/35 2 парадная.;ЖКХ;Центральный;ПОС;1;29.0;Смольнинское
71994;71994;Новаторов б-р 38;новаторов;38;;бульвар Новаторов 38 Санкт-Петербург Россия;['бульвар Новаторов 38 Санкт-Петербург Россия'];бульвар Новаторов 38 Санкт-Петербург Россия;бульвар Новаторов;38, бульвар Новаторов, округ Княжево, Санкт-Петербург, Северо-Западный федеральный округ, 198216, Россия;POINT (30.273304018326137 59.84708835);2022-05-11;Да убрали частично с начала, а середина также осталась.;Благоустройство;Кировский;ПОС;1;51.0;Княжево
