;text
84;"Всем волшебного дня!
Краткий обзор состава нового Крутагидона (+неизбежное сравнение с 1-м):

🔆Затравки (стартовая колода) без изменений, кроме простой палочки - теперь она может дать не 2 карты, а 3 чипсины (о них позже)

🍎 немного меньше карт в основной колоде, и по -1 вялочке и шальной магии

Нас ждут долгожданные новенькие:
🍏30 ЖДК (в 1-м крутагидоне их всего 20)! 
🍏10 верных фамильяров и 10 колдунских свойств

❌Привычных Легенд арены с задодробительными групповыми атаками нет, наваляли мы знатно всем😎

Зато вместо них новая, не менее легендарная (надеюсь) колода:
🔮 сокровища, твари, волшебники, заклинания и места (всего 33 карты)
🔮вместе с ними наводят шорох 7 МЕГАбеспределов

👎Если ты лошара, теперь об этом будут знать все, тебя отметят специальным жетоном лошары

🔶новая механика острейших чипсин
🔶которые можно заказать в меню хаты Чипсодина

👑Главный приз Крутагидона тоже изменил свойство: даёт одну чипсину

✨ну и про палочку-хреналочку узнаем позже

Вроде вот так, надеюсь, всё это оправдает наши ожидания 😄😠"
85;"Итак, это уже близко, мои шкодливые маги и магички, - возвращение на арену Крутагидона!😱🔮🎪💪
Почти дождались, уже можем посмотреть, что нас ждёт 😎

Загрузил правила в документы группы. В ближайшие дни будем разбирать каждое новшество🤓, но для этого изучите правила, потратьте десяток минут на прочтение (не ленитесь, там больше половины знакомого текста)"
86;"Уже совсем скоро! 😎🧀
Ждёте?)"
87;У кого есть карточка «перегруз ответственности»? Это из грибучего болота, если есть, скиньте фотку плиз
88;"Короче, тут уже инфа про ""третий Крутагидон"", хотя ещё не вышел второй 😀
Есть любители Рика и Морти?)"
89;Для меня Крутагидон лучшая настольная игра
90;"Создана тема для тех, кому есть чем поделиться с нашим магическим орденом 🧙‍♂️🏰

Доп материалы по любым магам
https://vk.com/topic-113113497_49087155"
91;"Ну я просто должен это сделать..
От Шафутиныча 👉✨
Календарепереворотное🍃
Третье сентября🍁"
92;Тут конкурсик у Хоббиков. Вдруг кто захочет попытать удачу)
93;"Немного обновим инфу для Ждунов)
Крутагидон 2 ждём осенью, доп к Крутагидону зимой.

Инфа из статьи HW про актуальные статусы проектов на данный момент https://vk.com/@hobbyworld-novosti"
94;Дополним Крутагидон новыми картами)
95;"Всем привет 
Кто знает , как движется выход 2й части Крутогидона в РФ ? Вообще стоит ли его ждать ?"
96;"Ребята, кто нибудь сталкивался с ""Турниром кренделя""? Что это? Плагиат или игра от какого нибудь из авторов ""Схваток...""?"
97;"Что ж, вот хорошие новости, дело движется!😏
Надеемся, что ждать всё же не до конца осени⏳

Ссылка на планы Хобби
https://vk.com/wall-10077862_247522"
98;
99;"Воу-воу, горячая новость! 💥💣
Ну теперь я с официальным подтверждением ещё сильнее в ожидании)
Даже с допом всё-таки 😱"
100;"-Просто показываю
-Красивое..
Несколько засветившихся легендарных карт из Крутагидона 2 - просто огонь. На данный момент, кажутся имбой 🤔"
101;"Две новости: хорошая и плохая.
Хорошая - ссылаясь на ответ Хоббиков, продолжению Крутагидона быть!😱🔮
У ориг издателя уже начался предзаказ, релиз в августе..

И вот плохая - ожидание. Сроки не известны, в нынешней ситуации даже предугадать сложно. Думаю, не раньше конца года, в лучшем случае. Но то, что наше издательство всё же планирует продолжение, обнадёживает.

Включаем режим ждуна ⏳
Надеюсь, дождёмся)

P.s. если найдутся смельчаки на предзаказ оригинала 😅
https://cryptozoic.com/products/epic-spell-wars-of-the-battle-wizards-annihilageddon-2-xtreme-nacho-legends-preorder"
102;"Обнаружил тут на сайте Хоббиков промо-фамильяра к Крутагидону 🤡
Без атаки, но может быть довольно полезен по основному свойству. А во время защиты, при удачном (не для атакующего😀) случае, может изменить ход игры)

P.s. Ссылка в комменте"
103;"Промелькнуло обнадеживающее сообщение от Хоббиков про продолжения Крутагидона!
Кикстартер-кампания у Cryptozoic была прошлым летом, предполагаю, дальнейшие новости от нашего издателя будут в конце марта, когда выпустят оригинал. 

Дополнение к Крутагидону -
Epic Spell Wars of the Battle Wizards: ANNIHILAGEDDON — Gang Bangers,

и самостоятельная часть Крутагидон 2 -
Epic Spell Wars of the Battle Wizards: ANNIHILAGEDDON 2 — XTREME NACHO LEGENDS

P.S. 😱скорее бы🔮"
104;Добрый день)А кто-нибудь из вас знает про коврик крУтогидона или картинку под коврик
105;"Закончились новогодние праздники, с которых нас ""вежливо"" выгоняет даже Бухлон 😥😴
Вот и начинается первая невесёлая рабочая неделька тигрогода.
Что ж, новый год, новый путь. Отправляемся, всем удачи 🍀🔮

P.S. Но ёлку не разряжать до февраля минимум 😄🎄⛄"
106;"Ах да, понедельник же 😅
Начинаем-продолжаем первый понедельник года.
Не прекращаем отдыхать, праздновать, ещё минимум до конца недели не утруждайте себя делами 🎆🎄🔮

И играйте в Схватки Магов, делитесь моментами)"
107;"С Новым год колдуны и колдуньи!!! 🌠🎄🔮
Беспредельного счастья, крутагидонного веселья, тигриной грации и силы, эпичных партий, магической удачи!"
108;"Ещё встречаем эту предпраздничную и последнюю неделю года с.. с тем, что я похвастаюсь подарочком, который уже успел себе урвать ❄⛄🎄😎
А именно: Epic Spell Wars of the Battle Wizards Statue!
Редкая, лимитированная в 250 штук статуэтка к Эпичным Схваткам Боевых Магов, пронумерованная вручную копия #133 из 250 😱
Изображён один из величайших магов-лордов - STUDD SPELLSLAMMER и его фамильяр The JUICE! 🔮🦉
Всех с Наступающим!
Всем так же крутых подарков и праздничного настроя!🎁🌠"
109;"Встречаем 5 неделю 12 месяца 🎅⛄ вместе с неожиданным гостем: Студдом Заклинателем и его фамильяром Соком! (Откуда они здесь?)
Последняя неделька, держитесь, дорогие, скоро отдохнём, салатиков поедим, фильмы новогодние посмотрим 🎄🌠😌"
110;"Подготовим-ка мы на 4 неделе 12 месяца Огнище. А то уже со дня на день грядут сильные морозы. Эта зима мне нравится, главное, чтобы снежок и морозцы дотянули до новогодней ночи❄⛄🎄
Уже нарядили ёлку, украсили квартиру?
Делитесь в комментариях своими предпразничными уголками)"
111;"Занеслооо на 3 неделе 12 месяца 😅⛄❄
Хороша зима. Новогоднее настроение уже проклёвывается?)"
112;"Да защитит нас от простуды и насморка на 2 неделе 12 месяца Рыцарь-сопленосец. Зима пока зимняя, морозы, снежок, одевайтесь, не простывайте)
❄⛄"
113;"Заканчиваем осень и на днях уже встречаем зиму и 1 неделю 12 месяца.
Правда, встречаем её с Грибучим Болотом, лужами и дождём 😒
Уже как-то хотелось бы снега ⛄
Как настроение?)"
114;На 4 неделе 11 месяца ждём знаков космоса с Знаком Космоса.
115;"Лютонарка вы всё-таки расстроили (ну или вы всё знаете и он никому не нужен в помощь), поэтому Братуха-Миксуха и 3 неделя 11 месяца у нас. 📻 
Миксует так же, как природа погоду несколько прошедших дней. Тепло, снег, дождь, ветер, солнце. А подо что утром попали вы? 💨🌊🌿🔥"
116;Лютонарк-таки остался начать 2 неделю 11 месяца. И не уходит со своей рубрикой, а всё еще ждёт насущных частых вопросов😅🥴
117;"Что-то вы совсем притихли...
И о себе решил напомнить Кровомант Лютонарк со своей рубрикой платиновых вопросов.
Какие вопросы часто возникают? Какую рассмотреть частую ситуацию?
Пишите в комментарии

#платиновые_вопросы"
118;"Начать короткую 1 неделю 11 месяца не с кем, кроме как с Тормозуном.
Сегодня понедельник, а уже послезавтра пятница, так что терпеть недолго🍂 😜🍂🍁
Ну и с прошедшим Хэллоуином!👻 (Тормозун)
А вы обычно отмечаете, или нейтрально это событие?"
119;Видели вчера снежок? Сегодня ещё холоднее, поэтому поджечь нам 4 неделю 10 месяца пришёл товарищ Магмуд Поджигай. Может, это поможет не замёрзнуть и дотянуть до пледа с кофе по вечерам ☕🐹
120;"Зачуханный Комбайн и 3 неделя 10 месяца прибыли🌾🚜
Середина осени миновала, движемся к зиме. 
А какое время года из этих двух Вам нравится больше?🤔"
121;"Лорд Чернолорд был занят поиском своего напарника, сэра Мурррчингтона. Поэтому с задержкой начинаем 2 неделю 10 месяца 😼
Не теряйтесь и собирайте осенние красивые листики 😄🍁🍂"
122;Достопочтенный 🎩 Сэр Мурррчингтон спокойно встречает и провожает на 1 неделю аж уже 10 месяца. Дожди отступили, погода хороша, можно наслаждаться осенью, как это делает наш пушистый Сэр. А пройтись по парку с горячим кофе, так вообще сказка ☕🍁🍂
123;"5-я неделя 9 месяца 🍁
Эта осень отшагала почти треть своего пути, но пока немного отличается от картинки 😄
А вам доводилось видеть такое в реальности?🍂"
124;Предлагаю поделиться своими коллекциями на сегодняшний момент)
125;Заплываем в 4 неделю 9 месяца, которая ожидается крайне дождливой. А добавить яркости нам пришёл Пых Радужное Облачко. Вообще никак это не поможет, и бессмысленно, ну и ладно ☁☔🌊
126;"3 неделя 9 месяца.
Голосуем за партию Змея Героича, но он не выдвигался, эх 😅"
127;Какой чудесный день, утро понедельника 2 недели 9 месяца. Пытается согреть нас после резкого похолодания 🌞🌈
128;"Мой ход, читаю заклинание 📖🔮:
От Шафутиныча 👉✨
Календарепереворотное💫
Третье сентября💥

(Простите:D)"
129;"С Днём знаний, дорогие колдунишки!🦉🔮
Даже если вам не надо в школу, помните, учиться никогда не поздно.
Умён не тот, кто много знает, а тот, кто знает, сколько он не знает и старается узнавать новое.

P.s. Найдите и почитайте вот такие подобные книженции 😀"
130;"Что ж, видимо провожаем лето, хотя у нас погода уже хмурая и дождливая..☔
Так что готовимся встречать 1 неделю 9 месяца, как ни странно, с началом дебоша в Школе 🍂🍁📚

❗❗P.s. осталось меньше 2 дней до повышения цен https://vk.com/wall-113113497_996 , торопитесь, если планировали покупать что-то из списка."
131;Последние деньки лета,  4 неделю 8 месяца сопроводит Бабушка Сдобушка. Самое время навестить её (если ещё этого не делали 😑), накормиться до отвала. А что, скоро похолодает, надо копить тепло на боках 😄
132;"А цены-то на наших Магов все растут и растут 😤
Успевайте покупать, если вдруг планировали..

Черепламень, Спрутобойня, Болото и Дебош подорожают с 1290 до 1490.
Крутагидон с 1490 до 1790.
Хоромы не указаны, они итак уже 1790
🙄"
133;"Возвращаемся на работу в свои Спрутобойни на встречу к обитающим там твар.. коллегам и к 3 неделе 8 месяца. 
Возможно, сейчас последние деньки жары, дальше уже пойдут первые нотки осени."
134;"Встречаем 2 неделю 8 месяца.. со мной 😜
Всем последнего рывка этого лета и свежести 🌴🌊"
135;"Возвращение Дона Расслабона освещает 1 неделю 8 месяца. Наконец-то. Все расслабьтесь, будьте легче)
🕊🌴"
136;"4 неделю 7 месяца занимает Качалкин (победитель по жизни). Какую-то ему не ту вакцину вкололи, что его так разнесло 🤷‍♂. Он хотел попасть на Летние Олимпийские Игры 2021, но попал лишь на этот пост 🙄.
А вы смотрите Олимпиаду?)"
137;"Какую часть игры посоветуете взять? И почему вам она понравилась?

думаю корректнее рассказать в чем различия"
138;"3 неделю 7 месяца нащёлкал нам принц Щелкун. Давайте просто спокойно дождёмся выходных 🌳🌿
И, конечно, берегите орешки 🌰"
139;2 неделю 7 месяца 😥 в такой жаре.. 🤯встречаем исключительно с Солнцеликим🌞. Ищем источники воды и бережём головы от удара.
140;"Начало 1 недели 7 месяца задержалось из-за Мордоеда. Он-таки ходил изучать знаки школ магии (не то, что вы), но зачитался 🤓
Но зато теперь его броски мощнее для любого знака 💪
Копите мощь и вы)"
141;"Так как вы не хотите учиться и сдавать задания, 5 недели 6 месяца не будет.
А тем, кто в Москве, сегодня будет супер, суперливень, по прогнозу, поплавАем.
Никто не пришёл 💔
Поэтому фото дождя, а не магов :)"
142;"Поняяяятно, учиться вы не хотите. Что ж, вот вам тогда памятка.
Надеюсь, что-нибудь прояснилось теперь.
Какое направление вам ближе?
Какие любимые карты каждой школы или комбинации на них?)
Предпочитаете сосредоточиться на одном знаке или солянке, типа пережора?"
143;"Что ж, с такой 🔥погодкой на 4 неделе 6 месяца самое время отправиться.. в школу 😈🏫
А изучим мы наши уникальные знаки заклинаний. Точнее, направления школ магии, к которым они относятся.
Итак, рассказывайте, есть ли у вас предпочтения в картах по знакам, и что вы о них можете сказать?💫🔮
И берегитесь жары, пейте больше воды, не перегревайтесь на солнце."
144;C самого первого моего знакомства с игрой меня не покидала мысль, почему планшеты магов не имеют каких то механик в игре. Да конечно в крутагидоне немного изменилась ситуация. Хотелось бы конечно что бы разработчики встряхнули игру в новом дополнении такими изменениями. Но вот что я подумал по этому поводу , и решил придумать неофициальную модификацию правил бонусов магов. Просто начальный пример: Бухлон Алкомаг начинал бы с 25 жизнями, или с определенной тварью/артефактом. В общем пространства для фантазии и баланса много. Пишите комментарии что думаете и предложения бонусов :)
145;Здравствуйте , такой вопрос можно ли скачать где-то данную игру для того , чтоб распечатать , т.к я живу на северном Кипре и нигде не могу купить данную игру , и заказать сюда тоже не получается . Или может кто то собирается в отпуск сюда и может привести данную игру.
146;"На 3 неделе 6 месяца у кого-то лето, каникулы и отдых вместе с Принцессой Каникулой 💃🕺🌞🌊🌴. 
А кто-то батрачит с Сердиторогом 🌚🤓🤦🤦‍♀
На чьей стороне вы?"
147;"Братцы- и сёстры-колдуны, а задумывались ли вы, почему у Крутагидона такая рубашка карт? Что тут изображено?
Что-то я не врубаюсь, но резко заинтересовало🤓"
148;"Дождь-дождь почти на всю 2 неделю 6 месяца (но это неточный прогноз) нашаманил нам Джунг-Джунг ☔🌳
А вы рассказывайте, что нашаманили в своих партиях игр за выходные)"
149;"Проводим весну, встретим лето и начнём 1 неделю 6 месяца с дружелюбным пушистым волшебником Абракадабрадором 🐶🔮!
Погодка вместе с настроением будет постепенно улучшаться по направлению к выходным ☔☁⛅☀"
150;Всем привет. Недавно узнал, что в ЭСБМ можно сыграть через стим. Загорелся, (настолка просто вышка, но ооочень редко получается собрать компанию) но найду ли я единомышленников с кем можно покатать партию другую? Так вот вопрос, уважаемые знатоки: может в этой группе можно найти таких же оторвяг и провести вечерок-другой в треше и угаре? Буду рад, пишите в лс.
151;"Неохотно начинаем...😴 А? Начинаем с Тормозуном 4 неделю 5 месяца.
Точнее, минутку, что-то напоминает мне это 🤔 Короче, просыпаемся, ждём пятницу, всем удачи🌿 😴"
152;"Закончились долбанные дожди, началась долбанная жара, которую внезапно ""преподнесла"" нам Жанна Вжарк. Ну и 3 неделю 5 месяца заодно.
Не расплавьтесь, пейте больше простой воды!☀😤🌻"
153;Ребят, мб кто-то играл в Unmatched? Стоит покупать или расхайплинная херня?
154;"Неохотно начинаем...😴 А? Начинаем с Тормозуном 2 неделю 5 месяца.
Точнее, начнём завтра, со вторника, сегодня побездельничаем ещё 🌝☁"
155;"Поздравляю всех с Днём Великой Победы! 🌌🌌🌌
Счастья, добра и мирного неба над головой! ⭐
Пусть битвы будут только дружескими за настолками, и нигде более!"
156;"Пыщ с Тыдыщем проведут 1 неделю 5 месяца по-разному.. Пыщ будет отдыхать 10 дней, отдыхать и колдовать шашлыки, а в это время Тыдыщ будет недовольно работать  по обычному графику. 
Тем временем погода тоже не может определиться, как ей работать ⚘🌞🌬☔
А как дела у вас?"
157;На прошлой неделе Грибуля Дюк собрал в зельях не те грибы, что вызвало пошатывание  и протечку погоды. Да такое, что даже снег пошёл 🤓🍄❄. Поэтому чинить 4 неделю 4 месяца взялись Король Оберон 👑 и Розовый Бутончик 🌷. Надеемся, они всё исправят, и встретим новый месяц в комфортной погоде ⛅🌳🔮
158;"Оживающую природу, листья, траву и 3 неделю 4 месяца нам предоставляет Грибуля Дюк 🌲🍃🍄🌿
А я, тем временем, всё ещё ожидаю отзывов о Лютом дебоше 🤗"
159;"2+ неделю 4 месяца преподносит один из новичков - мистер Захарыч, вкалывающий на двух должностях.
А ещё поздравляю всех с Днём Космонавтики! 🌠⭐⭐⭐"
160;"Что ж, ребятишки-колдунишки, вы все молчите о том, как дела в школе, придётся мне самому сегодня наведаться и устроить внеплановую проверку 👿🏣
А пока я создал тему https://vk.com/topic-113113497_47560667 , чтобы все писали свои отчёты-изложения о прибывании здесь. И чтобы к концу дня все сдали свои работы! Иначе, не родителей вызовем в школу, а школу вызовем в ВАС.

Ваш любимый-нелюбимый директор 👹"
161;"Апрель! Апрель!
На дворе звенит капель.

По полям бегут ручьи,
На дорогах лужи.
Скоро выйдут муравьи
После зимней стужи.

Пробирается медведь
Сквозь густой валежник.
Стали птицы песни петь,
И расцвел... Дерьмонстр,

с которым мы и встретим 1 неделю 4 месяца. Как вокруг на улице везде, так и встречаем, уж извините))0)
Быстрой рабочей недели, не испачкайте свои белые кроссы и успехов 😼

P.s. Ах да, делитесь своими лютыми дебошами из новой части игры!"
162;"Встречаем Адскую школу и начинаем лютый дебош!
Новая часть нашей дерьмолюбимой игры в продаже🤑"
163;
164;"Что здесь было?
А, это наш старый знакомый Щекотунчик решил.. поэкспериментировать на 1 апреля 🤷‍♂
Но не беспокойтесь, всё вернулось на круги своя 🤪"
165;"На дворе весна, представители магии травы/природы устраивают настоящую эпичную и трешовую схватку:
Энт д-р Корней против феи Флоры!
Кто же победит 🤯"
166;"Поганый Мерлин украл понедельник, поэтому начинаем 5 неделю 3 месяца со вторника, попутно провожая первый месяц весны.
Удачки, и не окрашивайте спины белым и не развязывайте шнурки в четверг (1 апреля, никому не поверим) 😜😑"
167;"Для идеального баланса сегодня новости хорошие: лютый дебош в адской школе начинается! Новую часть ЭСБМ уже можно предзаказать 😈
Собирайте свои рюкзачки, волшебные и не очень палочки и прочее дерьмо, чтобы подготовиться преподать урок друзьям за новыми партейками 
🔮😏🎓"
168;"Сегодня с немного невесёлыми новостями. Очередное повышение цен коснулось Хором (+300 руб) и Крутагидона (+200 руб).
Хоромы итак дороже остальных частей, и теперь ещё дороже. Дорожают, видимо, яйки под жетоны болезней 🙄.

Кто хотел приобрести, торопитесь сделать это до 1 апреля по старым ценам (так себе пошутили Хоббики в этот раз)."
169;Вот-вот уже должно потеплеть на улице... Поэтому ожидаем и начинаем встречать 4 неделю 3 месяца и весеннее обострение вместе с Сатиром-Менестрелем 😜🎶
170;"Ну что, все ознакомились с Социальным статусом из грядущей новой части нашей мерзкой любимой игры? Правила давно прикреплены, но я вас знаю, ленивые чертяки, поэтому вот.
Делитесь в комментариях мыслями и предварительными впечатлениями про новую механику🎓🔮"
171;"Сожгли Масленницу - проводили зиму.
А продолжаем ждать нормальную весну и встречаем 3 недельку 3 месяца вместе с Бабушкой Сдобушкой. И надеемся, что она ещё угостит нас блинчиками (или пряниками, что вряд ли 😅), а не магическими люлями 😬
Хорошей всем недельки!"
172;"Пережив 8 марта, госпожа Брита объявляет начало 2-й недели 3-го месяца. Неделя слегка покороче, поэтому должно быть немного легче ждать выходных 🙄.
Только вот опять морозы нападают неслабые, так что не замерзайте, товарищи маги ⛄"
173;"Ну, граждане маги, колдуны, волшебники, тунеядцы, хулиганы, нас набралось уже 400!
Так держать!⭐⭐
Наберём ещё больше ✨🔮😀"
174;"Встречаем первый день весны вместе с доктором Корнеем Дуболомом! 🔮🍃
Пусть он заряжает нас энергией, пока мы пытаемся не утонуть в лужах от сугробов 🌊 
Всем успехов!
И активнее делимся вашими игровыми ситуациями в альбомах и обсуждениях 🌝

P.s. Добавил в документы правила к новой части магов. Изучаем)"
175;"В предпоследний день зимы начинаем ждать весеннюю новинку!
«Эпичные схватки боевых магов: Лютый дебош в Адской школе» скоро в продаже 😎
https://vk.com/wall-10077862_168889"
176;"4-я неделя 2-го месяца у нас начинается в среду. Ещё немного, и снова выходные 😍 Спонсор краткой недельки - Дон Расслабон: ""Расслабьтесь, сегодня понедельник, послезавтра уже пятница"" 🌈👌

Сыграли на прошедших выходных?
Делитесь своими историями 🤪"
177;"Впереди увеличенные выходные, а значит, самое время собрать друзей и устроить эпичное месиво!
Не забывайте при этом делиться забавными и не очень заклинаниями/ситуациями в альбоме https://vk.com/album-113113497_275831554 , а так же делитесь вашими секретами и тактиками Крутагидона (да и не только его) https://vk.com/topic-113113497_46957103 .
Отличных всем выходных! 🔮🎉"
178;Есть кто в Краснодаре? Хотелось бы сыграть
179;"Хочу офлайн турнир устроить.
Кто хочет присоединиться?
Москва."
180;"Ну что, раскопались от снега и вылезли по делам/работам? Неделя 3 второго месяца - неделя Профессора Ахалая. Наверняка он своей шальной магией наколдовал нам столько сугробов (хотя, мне очень даже нравится 🤗).
Помните об увеличенной рабочей неделе 😖 Но зато потом большие выходные и короткая неделя - идеальный баланс (один фиолетовый зашёл в чат). 
Не мёрзните и удачи!"
181;"Нашёл тут на сайте производителя, что был промо-набор Крутагидона (Epic Spell Wars of the Battle Wizards: Annihilageddon Promotional Kit).
Плеймат шикарен 😱
Жаль, что у нас такого не издавали.
Может, кто-то урвал себе всё же такой наборчик, хвастайтесь)"
182;"Объявляем 2 неделю 2 месяца 2021 года неделей Щекотунчика. 
На дворе жгучие, словно магия угара, морозы. Но близится День Влюблённых, и пусть заклинания щекотки согреют вас от холодов и радуют любимых 👫🔮❄❄❄"
183;"Первым в рубрике рассмотрим вопрос про взятие и получение карт в Крутагидоне. Довольно тонкий момент, могли бы сделать другой термин или дополнительные уточнения в правилах.
🤔
Итак, эта часть серии - колодостроительная игра. Вы играете своей личной колодой, которую обновляете и улучшаете. Все обращения ""взять карту"", ""сбросить карту"", ""под вашим контролем"" относятся только к вам, вашей личной колоде и сбросу. Если это иначе, и нужно брать из другой колоды, сброса или стопки, то тогда на конкретной карте будет прямо об этом написано: с чем/чьими картами нужно взаимодействовать (простейший пример - шальная магия). 
🙌🔮
Теперь разберём разницу между ""возьмите карту"" и ""получение карт"".
Взять карту(ы), стандартно, берёте указанное количество карт с верха своей личной колоды.
📚
Получение карт (см. так же вырезку из правил) довольно редкий эффект, который есть в 3 основных случаях, которые я помню (если нашли ещё, обязательно дополняйте в комментарии):
1. На картах беспределов (примеры прикреплены). Беспределы M, J, U указывают однозначно взять карту именно с основной колоды (а не вашей личной). На J даже указано то злосчастное слово ""получить"" 😀.
2. Редкий, но удачливо жестокий вариант - Шальная магия. Когда у соперника раскрыли постоянку, таким образом, вы получаете эту постоянку себе, и теперь она часть уже вашей колоды.
3. Эффект некоторых карт позволяет перекладывать в сброс/на руку сопернику свои карты (например, Жезл свинства, или если у игрока есть Р'льех), это тоже считается, что игрок, которому такие образом положили карту, ""получил"" её.

Итог: кратко говоря, взять - вы берёте из своей колоды, а получение - когда откуда-то иначе из-за различных эффектов (но не путать с покупкой 😄, покупка - это покупка, уже третье  отдельное дейсвтие).
Надеюсь, это Вам сможет помочь разобраться в данных моментах.
Если сам где-то ошибся, укажите, поправим обязательно.

#платиновые_вопросы"
184;"Некоторые, моменты в игре (иногда элементарные) вызывают постоянные вопросы, поэтому можно иногда заводить рубрику ""платиновые вопросы"" (повторяются > 5 раз) 😀
Например,
В: что такое уникальный знак?
О: Указаны внизу каждой карты заклинания с типом. Всего знаков пять: трава, порча, кумар, мрак, угар.
Если в заклинании три карты травы - это 1 уникальный знак, а не 3.
А если трава+мрак+трава, то это 2 уникальных.

P.s. пишите (можно в сообщения группы), какие ещё вопросы можно занести в эту рубрику. Всем магии!

#платиновые_вопросы"
185;Есть кто нибудь с Москвы или области кто готов вмест4 поиграть ?)
186;"В этом году нас точно ждёт пополнение коллекции - Epic Spell Wars of the Battle Wizards: Hijinx at Hell High!
Но по допам к Крутагидону инфы нет, .
увы."
187;"Есть ли у Вас в Крутагидоне определённая тактика, которой придерживаетесь? Всегда просто скупаете самую дорогую карту, копите кучу мощи или играете чётко на своё свойство?
Пишите в комментариях подробнее ваши стратегии и тактики 🤔 https://vk.com/topic-113113497_46957103

А в опросе можете указать, на что делаете упор 💫"
188;"Задавайте свои вопросы в новую тему, а не на стену:
https://vk.com/topic-113113497_46930589
Более точно пишем, чтобы легче было искать уже разобранные моменты 🔮🙌"
189;"Добавляйте Ваши интересные комбинации, забавные названия заклинаний, эпичные ситуации
https://vk.com/album-113113497_275831554"
190;Какая часть Вам понравилась больше всего?
191;Сокровища остаются до конца  игры  или сбрасываються при первом использовании?
192;"Подскажите, что лучше взять и почему? (раньше не играла в эту игру )
Крутагидон /переполох в хоромах страсти"
193;"Есть вопрос по поводу тварей в игре. Что считается тварью в игре? 
Это карты которые остаются после клича ""Стоять"" или это любая раскрытая карта в ходу где написано ""тварь""?"
194;"Всем добрый вечер есть вопрос по Крутогидону кога на каре написано ""Возьми карту""(Допустим как в карте Двойняшке или допустим свойство когда за каждого волшебника нудно в конце хода взять карту)ее нужно брать из своей колоды в руку или из основной в сброс ? Просто в правилах написано по получению карт вот как написано что нудно немедленно брать и ставить сброс и увы не сказано откудо , но потом сказано что если попалась карта беспределе а беспредел может попасться только в основной колоде. хелп помогите разобраться"
195;"Всем привет! Вчера опробовали Крутагидон и возникла дискуссия на предмет того, как переходит главный приз другому игроку. В правилах, увы, чёткой однозначности нет (лишь в примере с беспределом вяло указывается, что приз у тебя могут отхапать, если источником беспредела был другой игрок и ты погиб). Итого у нас возникло два варианта:
1) Приз передаётся только в том случае, если убили держателя приза.
2) Приз передаётся каждый раз, когда кто-то кого-то убивает. 
Какой из вариантов верный?"
196;Мне тоже будет наносится урон? Столько сколько карт мне передал враг
197;Здраствуйте, интерисует вопрос, играем в 2ем, убиваю соперника получаю звезду за добивание. И тут же получаю звезду за выжевшего. Правильно понимаю?
198;"Возможно один из самых забавных вопросов::
Как понимать понятие ""враг ЖИВУЧЕЕ/ХИЛЕЕ"", это ВСЕ протмвники, у которых больше/меньше жизней чем у тебя, или только один игрок, наиболее к тебе приближенный? Просто очень смущает строчка ""В случае ничьей ты сам выбираешь, кто будет считаться живучее или хилее""
(Переполох в хоромах страсти)"
199;подскажите, нежданчик можно применить только при смерти на своём ходу или его можно разыграть в раунде,даже если умрешь не на своем ходу?
200;"Подскажите какую игру из 4 стоит приобрести? Интересует  самая сложная и ""навороченная"""
201;Если ты разыгрываешь карту где написано в эффектах -возьми две карты(к примеру). Ты берёшь их из своей колоды, и ты их можешь сразу же разыграть, или ты кладёшь их в стопку сброса???
202;Как работает рлех или как его получить себе как кубок. В правилах о нем ничего не написано(крутогидон)
203;Объясните карточку, имеется ввиду сколько тварей на данный момент в раскрытых заклинаниях или что?
204;"Опишите, пожалуйста, порядок серии игр(какая первая вышла, какая последняя).
Стоит начинать с самой первой или это все субъективно?"
205;В игре 3 человека, 1 умер и осталось бойня 1 на 1. Тот, кто первый умрет должен брать сразу после смерти взять карту Дохлого Колдуна или он не должен брать ее вообще?
206;Если складывать 2 и 4 части как быть с бонусами от замков? Складывать или лучше выбрать что то одно?
207;"Купил вчера эпичные схватки боевых магов бесчинство в замке спрутобойни, поиграл и столкнулся с некоторыми вопросами:
1. Если на карте твари написано, что целью является враг с наибольшим количеством крови, а у всех по 0, то как выбирается цель?
2. Твари, к которым применяется свойство «стоять» остаются до тех пор пока их не убьют?
3. Твари, к которым применятся свойство «стоять» можно разыгрывать 4 картой в своем следующем заклинании? И обязательно ли это? 
4. Если игрок, который не разыгрывал свои заклинания умер, то он остается мертвым до следущей партии или же он все таки должен разыграть заклинание будучи без жизней?
5. Карты дохлого колдуна берут мертвые игроки когда все закончили с заклинаниями? И берут ли их те, кто умерли в этот «раунд»?
6. Если на могучем броске написано, что жертва - игрок без тварей, а твари у всех есть, то просто кидаются кубики и урон никому не наносится?"
208;"Добрый вечер. 
Вопрос по Крутагидону. Там в комплекте шло промо. Так вот нигде не могу найти инфу, что это за карты."
209;Подскажите, если у врага нет сокровища, он прлучает автоматически 3 урона или как эта карта действует в этом случае?
210;При отборе сокровища или твари у врага ты его должен играть в этом ходу или только в следующем?
211;Стоит ли покупать 1 серию для смешивания? Судя по описанию она самая простая и никаких механик интересных не вносит как остальные дополнения. Просто лишний набор карточек
212;Кто считается победителем партии если ты убиваешь мага, а он вытягивает карту дохлого колдуна который убивает тебя? Речь о 3 серии игры. Есть карта ДК - немедленно вытяни 8 карт и сыграй все колдунства если это возможно. По логике каждый получает по черепку за убийство, но никто не получает жетон последнего выжившего?
