;text
68;"Итак, погнали.

✖️1. Старый добрый вопрос про ""получение карт"". Уже ранее рассматривалась разница между покупкой и получением, это не одно и тоже. В первом Крутагидоне есть несколько карт (легенда, несколько беспределов, шальные магии) и ждк, которые дают шанс именно получать карты.
(к слову, в Рике и Морти есть карты, где можно просто получать карты с барахолки/сброса)

В новой горяченькой части нас уже при подготовке встречают новые колдунские свойства (1 фото), где мы извлекаем какой-то бонус после >получения< волшебника/твари/заклинания. Т.е. при покупке свойство не работает? Потому что на старых свойствах/картах (2 и 3 фото, как примеры) прямо написано ""покупаешь или получаешь"". А в Чипсихозе нет карт, где ты просто получаешь карту, итого свойства бесполезны? Некоторые карты тоже завязаны на  ""при получении"".
Так же последующий вопрос про чипсины на картах барахолки (4  фото). Там, аналогично, в правилах написано, что когда  >получаешь< карту, получаешь и чипсину. Т.е. при покупке чипсина съедается? Ну не знаю) Полагаю, ошибка перевода или недосмотр разработчиков.

✔️Решение: собственно, элементарное 💡, просто приравниваем получение к покупке. Если строго по тексту и правилам, то руинится куча свойств и карт.

(1 из 3)"
69;"Всем приветов и чипсиков!👋⚠️
Следующий пост (будет разделён на 3 части) стоит внимания тех, кто успел поиграть в новый Крутагидон 2: Чипсихоз и особенно тех, кто скоро собирается. Некоторые неоднозначные моменты всплывали/будут всплывать в процессе игры, и чтобы вы не тратили время, постараюсь прояснить эти моментики 🤔🤔🤔

P.S. хотел написать раньше, но ждал ответа по правилам от поддержки HobbyWorld, надеясь, что они быстрее внесут пояснения. И вот что ответили 😂"
70;"Итак вышел 2-ой Крутагидон, но тут бороздя просторы интернета наткнулся вот на что. Сорри если уже публиковали.

https://www.kickstarter.com/projects/cze/epic-spell-wars-of-the-battle-wizards-annihilageddon-3"
71;"Задавайте вопросы, делитесь ситуациями в соответствующих темах:
1. По частям магов, которые не являются колодостроительными: https://vk.com/topic-113113497_46930589
2. По первому Крутагидону: https://vk.com/topic-113113497_49216184
3. По Крутагидону 2: Чипсихоз: https://vk.com/topic-113113497_49216188
4. По Рику и Морти: https://vk.com/topic-113113497_49181844
Все правила в файлах группы"
72;"Днём уже получил новиночку)
Закупайтесь и будем тестить в выходные 🔥"
73;"ДОЖДАЛИСЬ! 😱
Всех с началом зимы и Чипсихоза)
⛄🔮🍕"
74;Уже совсем немного ждать осталось!
75;"👋 В теме ""Рик и Морти: Близкие риконтакты риковой степени"" поделился впечатлениями от игры)
⚠️старался кратко, но многа буков вышло😀
Жду ваших впечатлений и вопросов🌌"
76;"Уже забрал свою коробочку на скин Крутагидона 😂
Для тех, кто тоже будет приобретать/играть создана специальная тема для ""Рик и Морти: Близкие риконтакты риковой степени"", который будем называть ""РиМ"", а то невозможно это каждый раз повторять 😅

Тема для вопросов и отзывов ""РиМ"", задавайте и делитесь мнением♻
https://vk.com/topic-113113497_49181844"
77;"Всем доброго утречка и хороших увеличенных выходных 👋🌞

А тем временем ""Рик и Морти: Близкие риконтакты риковой степени"" уже в продаже, берите портальную пушку и в ближайший магазин!🦠

https://hobbygames.ru/rik-i-morti-blizkie-rikontakti-rikovoj-stepeni?utm_source=vk&utm_medium=smm&utm_campaign=hwvk"
78;"В документы группы добавил правила игры ""Рик и Морти: Близкие риконтакты риковой степени""📚. Что думаете об игре?
Меня заинтересовало важнейшее отличие - отсутствие здоровья и урона. Как минимум из-за этого стоит внимания, я считаю ☺
Ну и тогда опросик, что ли:"
79;"А вот и РикоМортовый ""Крутагидон"" почти на подходе!🥒
Можно предзаказывать«Рик и Морти: Близкие риконтакты риковой степени»  - колодострой от тех же создателей, что и наши любимые Схватки Магов. Механики игры очень схожи с Крутагидоном, но с изменениями. Хороший подарочек фанатам и игры, и сериала 😎"
80;"Обзор грядущего Чипсихоза подходит к концу 😴 
Осталось рассмотреть новый символ активации на картах.
Тут всё просто, основной текст сыгранной карты выполняем сразу же, а свойство после 🔆 можно активировать 1 раз в любой момент своего хода, или не активировать вообще, если не хотим или забыли 🤪

Ах да, ну и напоследок, конечно же, жетон Лошары. Тут ещё проще: жизни не могут быть выше 15 и дополнительно -5 ПО, ну а что вы хотели от лошни?)
🤫по секрету, есть карта, которая этот штраф ПО превращает в бонус, но тссс, потому что есть и ждк, который удваиват штраф, ух...

На этом всё, вроде бы всё)
Осталось ждать уже не так долго, и тогда всех нас ждёт ЭКСТРЕМАЛЬНО ОСТРЫЙ ЧИПСИХОЗ! 🔥🔮🔶
А пока отдыхать, всем эпичных снов 🌜"
81;"Ещё одно применение чипсин в новом Крутагидоне🔥
В свой ход можно заплатить 3 чипсины и заказать случайное блюдо в хате Чипсодина 🏠. Сделать это можно раз в ход, каковы эффекты - смотрите меню 📋

Но вот мне пока не ясны 2 момента:
*Добавляется ли хата только при смешивании разных частей Крутагидона, заменяя обмен чипсин на мощь?
*И каковы правила смешивания? Исходя из текста на странице 15, то при смешивании нет новых легендарных карт, а только старые дешёвые легенды. Но больше никаких пояснений, как нужно совмещать наборы, я не нашёл 🤔
Но кто ж запретит добавлять хату и ВСЕ легенды, как угодно 😎"
82;"🔥Новенькая горяченькая механика Крутагидона 2: Чипсихоз - экстремальные чипсины, представленные в игре жетонами... чипсин 🔺)

Получаем чипсины:
🧀 по свойствам разных карт и ждк, где указано получить их
🥔когда покупаем с барахолки карту, на которых указан специальный символ (и чипсин там может оказаться больше 1)

Трата чипсин:
⚡1 чипсина = +1 мощь в этом ходу
🃏 для оплаты применения свойств карт
🌯для оплаты блюда хаты Чипсодина (об этом позже)

Победные очки чипсины не приносят, поэтому рано или поздно тратим их не жалея😌"
83;"Вот как-то так будет выглядеть раскладка ""магазина"" в Крутагидоне 2.
Да, две барахолки сразу🤑"
