;date;text;label_cat;loc_dist;loc_for_geocoding;source;source_cf
30163;2022-04-18;Железобетонный мусор;Отходы;Московский;;ПОС;1
30164;2022-04-18;Необходимо демонтировать с фасада незаконную рекламную конструкцию по адресу набережная канала Грибоедова д.8/1;ЖКХ;Центральный;канал Грибоедова наб 8/1;ПОС;1
30166;2022-04-18;Упала опора ЛЭП, уже больше никто не устраняет.;Энергетика;Красносельский;Павловский пер;ПОС;1
30167;2022-04-18;Необходимо очистить фасад здания по адресу Невский проспект 83 от надписей и объявлений;Благоустройство;Центральный;Невский пр-т 83;ПОС;1
30168;2022-04-18;Необходимо демонтировать незаконные рекламные конструкции;Благоустройство;Центральный;канал Грибоедова наб;ПОС;1
30169;2022-04-18;Необходимо очистить забор от вандальных надписей;Благоустройство;Центральный;Конюшенная пл 1;ПОС;1
30170;2022-04-18;Добрый день. По адресу город Санкт-Петербург,Кировский район, проспект Стачек дом 75, 4 подъезд,обваливается облицовка с крыши. Эта часть которая требует ремонта находится прямо над подьездом. Происходит это уже на протяжении 2х лет. Жкх проблему не решают. Мы каждый месяц оплачиваем взносы за ремонт,на содержание жилого дома и в это же время должны выходя и заходя в подъезд смотреть не летит ли там что-то.;ЖКХ;Кировский;Стачек пр-т 75;ПОС;1
30171;2022-04-18;"После ""весенней"" уборки мусор оставили на месте. Чёрные мешки лежат уже неделю. И теперь перед подъездом начинает образовываться свалка.";Отходы;Пушкинский;Васенко ул 18;ПОС;1
30172;2022-04-18;Граффити на торце здания. Прошу закрасить в тон. Заранее спасибо.;ЖКХ;Центральный;Социалистическая ул 26-28;ПОС;1
30173;2022-04-18;Надпись на стене. Прошу закрасить в тон.;ЖКХ;Центральный;Разъезжая ул 41;ПОС;1
30176;2022-04-18;Разрисован информационный щит на детской площадке. Отмыть.;Благоустройство;Центральный;3-я Советская ул 16;ПОС;1
30177;2022-04-18;У магазина Красное и белое регулярно переполнена урна, мусор разлетается по всему тротуару. Вычистить, убрать тротуар и впредь обязать работников магазина следить за чистотой в урне и вокруг магазина.;Отходы;Центральный;Ульяны Громовой пер 8Б;ПОС;1
30178;2022-04-18;Провал в плиточном покрытии тротуара. Качественно устранить.;Благоустройство;Центральный;3-я Советская ул 4;ПОС;1
30179;2022-04-18;Мусор на газонах и переполненная урна на детской площадке. Тщательно убрать.;Отходы;Центральный;3-я Советская ул 16;ПОС;1
30180;2022-04-18;Частично поломано игровое оборудование на новой детской площадке - починить. А также есть вандальские надписи на пластиковых частях - аккуратно отмыть, не закрашивать. Спасибо.;Благоустройство;Центральный;;ПОС;1
30181;2022-04-18;Необходимо провести влажную уборку в подъезде 2 на всех этажах.;ЖКХ;Центральный;Лиговский пр-т 117;ПОС;1
30182;2022-04-18;В подъезде 2 Необходимо вымыть окна на всех этажах;ЖКХ;Центральный;Лиговский пр-т 117;ПОС;1
