;date;text;label_cat;loc_dist;loc_for_geocoding;source;source_cf
33244;2022-04-22;Прошу вас организовать тротуар вдоль улицы Вербная, между улицами Маршала-Новикова и Репищева. Тротуара там нет ни с одной из сторон, но судя по следам (на фото) движение пешеходов там очень активное. В дождливую погоду это место превращается в грязевую полосу. отписка 4 года назад что там его и не должно быть меня не устраивает;Дороги;Приморский;Вербная ул;ПОС;1
33390;2022-04-22;У старой трансформаторной подстанции разрушается стена, падают вниз кирпичи, это не безопасно, необходимо починить;Благоустройство;Невский;Обуховской Обороны пр-т 35Б;ПОС;1
33391;2022-04-22;Проволока и клеевая основа на бетонном столбе;Благоустройство;Петродворцовый;Стрельна Связи ул;ПОС;1
33392;2022-04-22;Граффити на сооружении. Заранее спасибо;ЖКХ;Приморский;;ПОС;1
33393;2022-04-22;Будочки электрооборудования содержатся не в нормативном состоянии: поверхность изрисована, корпус местами проржавел. Необходимо привести шкафы для оборудования в нормативное состояние.;Энергетика;Приморский;Щербакова ул;ПОС;1
33394;2022-04-22;На детской площадке (во дворе дома по адресу пр.Ветеранов 114/1 и лицея 378) находится карусель, которая несет опасность получения травм! Дети постоянно!!!, повторюсь, постоянно виснут на железном основании карусели во время движения, потом отлетают в разные стороны, получая удары, врезаясь в других детей! При мне несколько раз ребенок так «долетел» до качели для малышей! Помимо этого, у вращающейся трубы тоже стоят дети, которые раскачивают карусель стоя у столба (внутри карусели) - страшно представить, какую тяжелую травму может получить ребенок, если голова попадет во время вращения между железных элементов! Прошу убрать полностью эту карусель с детской площадки во избежания травм!!! В любой день, когда на площадке много детей, Вы можете лично убедиться в этом!;Благоустройство;Кировский;Ветеранов пр-т 114к1;ПОС;1
33395;2022-04-22;Убрать мусор , грязь , новогоднюю мишуру с газона;Отходы;Кировский;;ПОС;1
33396;2022-04-22;Мусор , грязь на газоне;Отходы;Кировский;;ПОС;1
33397;2022-04-22;Все покрытие детской площадки проросло, необходимо прополоть и засыпать новое;Благоустройство;Невский;Стеклянная ул;ПОС;1
33398;2022-04-22;Никто не использует сушилку для белья, необходимо ее демонтировать и сделать на ее месте газон, посадить деревья;Благоустройство;Невский;Обуховской Обороны пр-т 35;ПОС;1
33399;2022-04-22;Около дома 39 по Обуховской обороне сейчас находится спортивно-детская площадка, хотелось бы видеть на ней больше оборудования;Благоустройство;Невский;Обуховской Обороны пр-т 39;ПОС;1
33401;2022-04-22;В переулке Челищева вновь образовалась нелегальная свалка бытового, строительного и пр.мусора;Отходы;Невский;;ПОС;1
33402;2022-04-22;Кучи мусора и веток лежат уже неделю вдоль всего дома !;Отходы;Невский;Шлиссельбургский пр-т;ПОС;1
33403;2022-04-22;Огромное количество мусора;Отходы;Красносельский;;ПОС;1
33404;2022-04-22;Добрый день! Уже больше года огромная яма ,при въезде во двор по улице аллея Котельникова 4 со стороны коломяжского пр;Дороги;Приморский;Коломяжский пр-т 32а;ПОС;1
33406;2022-04-22;Сухие деревья рядом с домом 49 на ул Матроса Железняка;Благоустройство;Приморский;Матроса Железняка ул 49;ПОС;1
33407;2022-04-22;"Квартал №174.Приморского района. На детской площадке ТСН ""Дворик у Каменки"" лежит огромная куча снега с песком. Не тает, потому что покрыта слоем грязного песка. Ответственный и работники ЖКС4 рассчитывают, что само собой растает или ждут лета. Силами наших дворников была раскидана такая же куча снега на другой стороне и вычищена детская площадка от песка и мусора. Работники ЖКС появились только вчера 21.04 на час , ждали 1,5 месяца. Повсюду песок и грязь. Надоело делать работу за ЖКС 4. Примите меры по уборке нашей территории силами сотрудников с метлами , а не трактором, от которого больше грязи. Как можно поливать проезжую внутриквартальную дорогу, предварительно не убрав песок. Это варварство, бесхозяйственность и неуважение к людям. Просим весь песок с грязью после зимы убрать";Отходы;Приморский;Шуваловский пр-т 55к1;ПОС;1
33408;2022-04-22;Надписи на детском игровом сооружении. Заранее спасибо;Благоустройство;Приморский;Парашютная ул;ПОС;1
33409;2022-04-22;Надписи на информационном щите детской площадки. Заранее спасибо;Благоустройство;Приморский;Парашютная ул;ПОС;1
33410;2022-04-22;Надписи на вентиляционной трубе дома. Заранее спасибо;ЖКХ;Приморский;;ПОС;1
33411;2022-04-22;После ремонта асфальтового покрытия старый асфальт бросили кучей на пустыре;Отходы;Приморский;;ПОС;1
33412;2022-04-22;Мусор вдоль забора. Заранее спасибо;Отходы;Приморский;;ПОС;1
33413;2022-04-22;Прошу вас , уберите пожалуйста мусор. Спасибо;Отходы;Пушкинский;;ПОС;1
33414;2022-04-22;Второй двор дома 8Б по ул Моисеенко (между литера Б и В) полностью в мусор. ЖКС-3 2-ой участок на заявки не реагирует. Требуется привести двор в надлежащее санитарное состояние.;Отходы;Центральный;Моисеенко ул 8Б;ПОС;1
33415;2022-04-22;Хотелось бы видеть в саду больше клумб, лучше бы даже с многолетними растениями, чтобы каждый год не тратить на них большие деньги;Благоустройство;Невский;имени 30-летия Октября сад;ПОС;1
33416;2022-04-22;Необходимо установить в парке больше скамеек для отдыха и урн, чтобы во время прогулок можно были сидеть не только на центральной аллее;Благоустройство;Невский;имени 30-летия Октября сад;ПОС;1
33417;2022-04-22;Хотелось бы видеть больше кустарников в парке, может быть вдоль дорожек;Благоустройство;Невский;имени 30-летия Октября сад;ПОС;1
33418;2022-04-22;Необходимо высадить на всей площади центральной клумбы многолетние растения, чтобы не тратить каждый год много денег на засаживание клумбы и не оставлять там заросли травы;Благоустройство;Невский;имени 30-летия Октября сад;ПОС;1
33419;2022-04-22;В саду 30 летия октября необходимо больше хотя бы гравийных дорожек и освещения. Не только жители близлежащих домов гуляют в нем, но и приезжают извне;Благоустройство;Невский;имени 30-летия Октября сад;ПОС;1
33420;2022-04-22;На нечетной стороне хрустальной улицы очень мало деревьев, хотя место для них есть. Необходимо это исправить;Благоустройство;Невский;Хрустальная ул;ПОС;1
33422;2022-04-22;Машины разбили зелёную зону, паркуясь под деревьями, всю грязь разнесли…. Нужно установить ограничители;Благоустройство;Выборгский;Шуваловский;ПОС;1
33423;2022-04-22;В пруд упало дерево;Благоустройство;Приморский;Пионерский сад;ПОС;1
33424;2022-04-22;Хотелось бы видеть молодые деревья в парке на берегу Невы;Благоустройство;Невский;;ПОС;1
33425;2022-04-22;Свалка мусора, а почему? Кому-то в голову не пришло поставить бак;Отходы;Выборгский;;ПОС;1
33426;2022-04-22;Глубокие ямы на дороге;Дороги;Выборгский;Энгельса пр-т 93;ПОС;1
33427;2022-04-22;Детская площадка во дворе ( ул. Орбели д.8) _ нет песка в песочницах Спорт площадка ( 2-Муринский , д.15) , аварийное и травмоопасное состояние оборудования;Благоустройство;Выборгский;Орбели ул 8;ПОС;1
33428;2022-04-22;На спортивной площадке сломано оборудование. На детской площадке нет песка в песочницах.;Благоустройство;Выборгский;;ПОС;1
33429;2022-04-22;Добрый день! 3 недели не могу записаться к эндокринологу. Почему нет замены отсутствующих врачей? записывайте тогда в другие клиники, если нет своего штата. Запись по телефону не доступна, в 14:00 номерки не обновляются. Полис. ул. Федора Абрамова, 8;Здравоохранение;Выборгский;Федора Абрамова ул 8;ПОС;1
33431;2022-04-22;Здравствуйте! С Детской площадки пропали качели. Необходимо установить качели для детей.;Благоустройство;Выборгский;;ПОС;1
33432;2022-04-22;Здравствуйте, подскажите пожалуста. Я Бахирева Мария Леонидовна 09.06.1984 года рождения, медработник переболела короновирусной инфекции в январе 2022 года, с поликлинике получила прококол, а том что это страховой случай. Собрала весь пакет документов и отправила в ФСС и аднимистрацию калининского района города СПБ на выплату 300 тыс и 68811 тыс, там все одобрели, но выплаты с марта месяца так и не постуют. Хотела бы узнать причину.;Здравоохранение;Калининский;;ПОС;1
33433;2022-04-22;Между домом 7 к1 по ул.Брянцева и авторынком Ушинского 12 расположен заброшенный пустырь примерно 100х100м. С одной стороны от него неработающий теннисный корт, с другой спортцентр. Пусть администрация района сделает там площадку для выгула собак - их нет ни одной в районе. И всем хорошо - и открыть с помпой можно, с освещением по ТВ я помогу, и жители будут довольны работой чиновников.;Благоустройство;Калининский;Брянцева ул;ПОС;1
33434;2022-04-22;Сломана ветка угроза подения;Благоустройство;Калининский;Светлановский пр-т 38;ПОС;1
33435;2022-04-22;Стасовой д. 4 не производится уборка лестничных маршей.;ЖКХ;Красногвардейский;Стасовой ул 4;ПОС;1
33436;2022-04-22;Парадная 3. 9 этаж. Помещение лифтовой площадки загромождена мусором. Пожарной небезопасно.;ЖКХ;Красногвардейский;Стасовой ул 4к1;ПОС;1
33437;2022-04-22;Собственники многоквартирного дома находящегося по адресу: СПб, г.Колпино, пр-Заводской, д.34 обеспокоены тем что нежилое помещение 1-Н которое находится на первом этаже нашего дома,продано частному лицу Славиной Н.В. -согласно выписки из Росреестра с 01.04.2022г. Собственники многоквартирного дома не давали своего согласия на продажу и аренду этого помещения. Просим разобраться и предоставить документы на основании которых нежилое помещение 1-Н стало принадлежать с 2012 г. городу Санкт-Петербургу. А затем было продано ИП Славиной, а затем здано в аренду неизвестному лицу. В данный момент в помещении 1-Н ведутся ремонтные работы.А кто будет платить за электричество, тепло и воду? Напомним что всё это незаконно, т.к. собственники многоквартирного дома не давали своего согласия на продажу и аренду недилого помещения!;ЖКХ;Колпинский;Колпино Заводской пр-т 34;ПОС;1
33438;2022-04-22;В 20 парадной на входной двери стала отслаиваться краска, так как дверь заменена недавно возможно по гарантии ее можно заменить или устранить эти очаги коррозии;ЖКХ;Адмиралтейский;Шкапина ул 9-11;ПОС;1
33439;2022-04-22;Добрый день! Помогите привести в порядок парадную (Юнтоловский пр 53 корп1). УК игнорирует проблему, но счета на текущий ремонт и капитальный ремонт регулярно выставляются. Дверь в ужасном состоянии, плотно не закрывается, вся в облезлом в виде уже пару лет;ЖКХ;Приморский;Юнтоловский ул 53к1;ПОС;1
33440;2022-04-22;Крайне неудобная оплата и организация в столовой! Почему не принимают карту банка?? Талоны это нечто вообще… дети полный обед есть не хотят, говорят стало невкусно (цена при этом выросла), какие-то две очереди, что поесть не успевают…;Образование;Красногвардейский;;ПОС;1
33441;2022-04-22;Кто-то нагадил в лифте Громова 8;ЖКХ;Красногвардейский;Громова ул 8;ПОС;1
33442;2022-04-22;"Безосновательно отказывают в постановке в очередь в детский сад с осени 2021. Говорят, что где-то открыто еще заявление с номером 000881884, которое нигде не отображается. Просят куда-то звонить и что-то выяснять. Что конкретно и где мне надо узнать не говорят. В постановке в очередь отказано неоднокоатно, с формулировкой ""я не могу нажать кнопку"".";Образование;Красногвардейский;;ПОС;1
33443;2022-04-22;Выцвел дорожный знак автобусной остановки;Транспорт;Петродворцовый;Связи ул;ПОС;1
33444;2022-04-22;Информационный дорожный знак 6.10.1 «Указатель направлений» (см. приложение №2 к ПДД, а также иллюстрации №2 и №3) был размещён вопреки ОБЯЗАТЕЛЬНЫМ для исполнения требованиям пункта 5.1.7 ГОСТ Р 52289-2019 «Технические средства организации дорожного движения. ПРАВИЛА ПРИМЕНЕНИЯ ДОРОЖНЫХ ЗНАКОВ», а именно: расстояние от бровки земляного полотна обочины до края информационного знака 6.10.1 ДОЛЖНО быть от 0,5 до 5,0 метров !!! (см. иллюстрацию №1).;Транспорт;Петродворцовый;Ропшинское ш;ПОС;1
33445;2022-04-22;Необходимо очистить дорожные знаки от незаконных объявлений;Транспорт;Центральный;Лиговский пр-т;ПОС;1
33446;2022-04-22;Не работает светофор. Не безопасно переходить;Транспорт;Петроградский;Большой Петроградской стороны пр-т;ПОС;1
33448;2022-04-22;Прошу демонтировать незаконно установленные элементы искусственной неровности.;Транспорт;Курортный;Карла Маркса ул;ПОС;1
33449;2022-04-22;На улице 2-я Поперечная (Ново-Ковалево) Красногвардейского района нет ни одного пешеходного перехода на всей протяженности улицы. Возможность безопасного перехода проезжей части отсутствует. При переходе через дорогу, например, в магазин, расположенный напротив дома № 3 по указанной улице и обратно, пешеходы нередко испытывают затруднения и даже попадают под машины, в связи с чем очевидна необходимость организации пешеходного перехода (хотя бы в виде дорожной разметки).;Транспорт;Красногвардейский;2-я Поперечная ул;ПОС;1
33450;2022-04-22;Хотелось бы видеть автобус в нашем районе, который идёт по Обуховской обороне, а не по хрустальной или второму лучу, до пискаревского, только не по Невскому и Суворовскому как 16 троллейбус, который собирает все пробки;Транспорт;Невский;Обуховской Обороны пр-т;ПОС;1
33451;2022-04-22;"расписание 162 автобуса (на остановке по направлению в Петергоф) частично закрыто дорожным знаком, выцвело, пообтрепалось (отклеилось), а самое главное - устарело, то есть не соответствует заявленному на официальном сайте ""Организатора Перевозок"": http://orgp.spb.ru/raspisanie/1327";Транспорт;Петродворцовый;Связи ул;ПОС;1
33452;2022-04-22;Прошу удалить граффити с бетонного столба;Благоустройство;Петродворцовый;;ПОС;1
33454;2022-04-22;Весь двор в пыли и песке после зимы, необходимо подмести и вымыть;Благоустройство;Кировский;Обуховской Обороны пр-т 35Б;ПОС;1
33456;2022-04-22;"В 16-18 годах в доме 8Б по ул Моисеенко был капитальный ремонт элекктросетей. В итоге в трёх из четырёх парадных капремонт был, а в четвёртом подъезде до сих пор нет. В следствие этого имеется выявленные дефекты в работах, а именно:
- не исправный светильник у третьего подъезда,
- не отрегулированы все датчики движения и тп,
- имеются четыре не светодиодных светильника на лестницах, которые поставили за место не исправных светодиодных,
- Отсутствие во втором дворе замены проводки и дворового освещения на лед-светильник,
- полное отсутствие замены проводки и освещения на лед-лампы в четвёртом подъезде. Проводка аварийная, постоянно коротит и весь дом остаётся без электричества!!!
Ранее на оставленную жалобу (номер 171050764) по этому вопросу был получен ответ, что данные работы будут произведены в полной мере в первом квартале 2022 года. Но до сих пор никаких работ не начиналось. Требуется устранить все недочёты по комплексной замене общедомовых систем электроснабжения, так как в четвёртом подъезде электропроводка в крайне аварийном состоянии.";Благоустройство;Центральный;Моисеенко ул 8Б;ПОС;1
33457;2022-04-22;Добрый день Проваливается брусчатка. Пройдите и проверьте весь двор!!!!;Дороги;Центральный;Кирочная ул 8В;ПОС;1
33458;2022-04-22;Необходимо высадить больше деревьев в саду 30 летия вдоль Обуховской Обороны, чтобы уменьшить распространение пыли и шума;Благоустройство;Невский;Обуховской Обороны пр-т;ПОС;1
33459;2022-04-22;Необходимо высадить больше деревьев вдоль Обуховской обороны в парке вдоль Невы, чтоб было не так пыльно и шумно при прогулках;Благоустройство;Невский;Обуховской Обороны пр-т;ПОС;1
33460;2022-04-22;На улице профессора Качалова мало деревьев по обеим сторонам, необходимо высадить;Благоустройство;Невский;Качалова ул;ПОС;1
33461;2022-04-22;Во дворе 33к2 и 39 домов не высаживаются новые деревья, нужно их посадить;Благоустройство;Невский;Обуховской Обороны пр-т 33к2;ПОС;1
33462;2022-04-22;Проезд между Обуховской Обороны 33к2 и смоляная 1 требует высадки новых деревьев на газоне;Благоустройство;Невский;Обуховской Обороны пр-т;ПОС;1
33463;2022-04-22;Добрый день!и В поликлинике отказались распечатывать на бумаге анализы крови, сославшись на дороговизну бумаги. Предложили посмотреть на них на портале госуслуг, при необходимости распечатать самостоятельно(скачать, найти пункт, где есть бумага, сходить). Выделите из бюджета средства поликлинике по адресу СПб, Ф.абрамова, 8 на бумагу, чтобы у них получалось предоставлять услуги пациентам и не жаловать нам на низкое бюджетное финанси;Здравоохранение;Выборгский;Федора Абрамова ул 8;ПОС;1
33464;2022-04-22;Будка неизвестного мне назначения в саду напротив дома 33к1 по Обуховской обороне завалена мусором;Отходы;Невский;;ПОС;1
33465;2022-04-22;После схода снега в парке стал виден мусор, который разнесен по всей площади :(;Благоустройство;Невский;имени 30-летия Октября сад;ПОС;1
33466;2022-04-22;Люк открыт у вентиляции метро;Энергетика;Невский;;ПОС;1
33467;2022-04-22;Вдоль новой дорожки вдоль жд необходимо посадить деревья и засеять газон, сейчас там совсем неуютно;Благоустройство;Невский;имени 30-летия Октября сад;ПОС;1
33468;2022-04-22;В парке у жд дороги лежит бетонная плита, она портит общий вид и никак не используется;Благоустройство;Невский;имени 30-летия Октября сад;ПОС;1
33469;2022-04-22;На заборе здания по адресу хрустальная 6 граффити;ЖКХ;Невский;Хрустальная ул 6;ПОС;1
33470;2022-04-22;Между домами 10 и 8 по улице Карбышева песок и грязь вдоль бордюра, парковка вся в песке. Такая же ситуация за 8 домом.;Отходы;Выборгский;Карбышева ул 10;ПОС;1
33471;2022-04-22;В саду 30 летия вдоль Слободской улицы низины, в них скапливается вода и образуются мини болота в дождливую погоду и оттепель. Нужно подсыпать земли и посадить больше деревьев;Благоустройство;Невский;имени 30-летия Октября сад;ПОС;1
33472;2022-04-22;На смоляной улице катастрофически мало растительности по четной стороне;Благоустройство;Невский;Смоляная ул;ПОС;1
33473;2022-04-22;Здравствуйте. Я собственник жилья. УК КомТехСервис. 21.04.22обратилась в УК по поводу «перетопа», температура +30 и горячие батареи на 3-ем этаже. Дом 1989 года постройки. Есть общий узел регулировки по отоплению. Общалась с инженером компании. Рекомендовано:1. Подать заявку в аварийную службу УК, что было сделано. Через сутки при личном тел контакте инженер ничего не ответил конкретного по заявке. Сказал, что придёт слесарь. Согласно законным актам, должна быть комиссия с составлением акта регистрации перетопа в квартире. Этаж у меня 3-ий. Спрашиваю-почему я должна отапливать улицу, а ещё ежемесячно платить по 2000 руб за отопление. Разговор сводился к тому, чтобы на входящем узле частично уменьшить подачу, чтобы снизить циркуляцию подаваемого тепла. Основная тема со стороны инженера была в том, что я единственная по такому обращению. Рекомендовано перекрыть батареи, но платёж принесут прежний. Ответа нет. Определил меня в скандалистки, хотя по закону я плачу и имею право на комфортное проживание, в том числе задача инженера выполнять свои должностные обязанности , работая в УК, получая зарплату за счёт наших платежей. Хотя можно было инициировать проверку выборочно по-квартирно и грамотно сработать. Звонок в офис результата не дал. Все стрелки переводят на пятилетние графики температур и ГУПТЭК. Позвонила на горячую линию ГУПТЭКа о возможности регуляции заслонки на общем узле подачи УК. Подтвердили о возможности таких мероприятий со стороны УК. По телефону обьяснения что кто-то будет замерзать!!! Но сделайте работу, проведите по-квартирное выборочно обследование на разных этажах. Наверно, на 9-ом в квартирах сауны или люди просто сами перекрывают отопление в квартире, продолжают отапливать улицу при этом оплачивать все по счетам по максимуму. Обращаюсь к Вам как инстанции власти, чтобы все-таки УК работала согласно закона, а мы имели право на комфортное проживание за свои же деньги. Дополнительно, в январе очень странно произошла замена одной компании ЖилСтройСервис на ТехКомСервис, заменив только название ( и сделано это было в 2-х месячный срок по просьбе двух квартир по непонятной причине) Состав старой компании перешёл плавно в «новую» , поменял фамилию руководителя отца, на фамилию руководителя сына. Результатов очного собрания нет( не было кворума), в том числе и заявителей. А результаты заочного голосования не доводились до сведения собственников. Меня лично отправили искать информации в ГИС. И не обязаны они другим способом доносить информацию до собственников жилья. Жилищная инспекция , думается в курсе таких быстротечных перемен. Прошу Вас как комитет по ЖКХ проверить работу данной УК . Дуликова Виктория Геннадьевна, тел 911 113 0111, адрес по Комендантский 36 к2кв 45.;ЖКХ;Приморский;Комендантский пр-т 36к2;ПОС;1
33474;2022-04-22;Двор не убирается с осени! Мусор разбросаны по всему двору.;Отходы;Красногвардейский;;ПОС;1
33475;2022-04-22;В углу сада между 330 гимназией и итмо мало деревьев;Благоустройство;Невский;имени 30-летия Октября сад;ПОС;1
33476;2022-04-22;Вся территория ЗНОПа во дворе домов 8Б и 8-10 по ул Моисеенко в кучах мусора. Требуется привести ЗНОП в надлежащее санитарное состояние.;Отходы;Центральный;;ПОС;1
33477;2022-04-22;Глубокие ямы вдоль дома 50 и соседних домов. Говорили что включат в ремонт на 2022 год, а сейчас переносите на 2023???? Сколько это можно это терпеть? У меня треснуло стекло на машине, кто мне возместит ущерб?????;Дороги;Кировский;Танкиста Хрустицкого ул 50;ПОС;1
33478;2022-04-22;По данному адресу у парадной 5 разбита колба осветительного прибора, разбросаны стекла, необходимо заменить колбу.;ЖКХ;Центральный;Гончарная ул 15А;ПОС;1
33479;2022-04-22;Несколько глубоких ям на проезжей части вдоль всего дома. Машинам сложно проехать.;Дороги;Приморский;Комендантский пр-т 53к4;ПОС;1
33480;2022-04-22;В подвале третей лестницы дома 8Б (литера Б) по улице Моисеенко идёт течь канализационной трубы с седьмого апреля. Все фикалии с дома просто разливаються по всему подвалу создавая сильную антисанитарийную обстановку на весь дом. Неимоверная вонь канализации стоит на всю парадную и в квартирах. Данная проблема происходит из-за размыва выходов общедомовой канализационной трубы в канализационный люк. ЖКС-3 на протяжение четырёх лет отказывается устранять причину и последствия данной антисанитарной ситуации, ссылаясь на отсутствие материалов (мешка цемента) и возможности привести подвал в надлежащее санитарное состояние. Требуется устранить причины и следствие аварии в установленные законом сроки и привести подвал в надлежащее санитарное состояние в полной мере.;ЖКХ;Центральный;Моисеенко ул 8Б;ПОС;1
33481;2022-04-22;Много мусора на детской площадке;Отходы;Василеостровский;;ПОС;1
33482;2022-04-22;Рядом с домом 64 по Кирочной улице Был демонтирован забор и остались вот такие «последствия». Позор!!!!! Полагаю, что принимая решение о демонтаже, должны были продумать вопрос благоустройства территории. Оставили источник грязи, пыли и сбора мусора. Убедительно прошу провести работы по Благоустройству территории!!!! И все это напротив Администрации Города!!!!! Что же твориться в других районах города, боюсь представить;Благоустройство;Центральный;Кирочная ул;ПОС;1
33483;2022-04-22;Теплосеть после проведённых работ не восстановила благоустройство;Благоустройство;Василеостровский;;ПОС;1
33485;2022-04-22;Сломан спорт инвентарь;Благоустройство;Красногвардейский;;ПОС;1
33486;2022-04-22;Детская площадка построенная осенью уже разваливается, сломано крепление веревочной лестницы и другие стенки детского комплекса;Благоустройство;Кировский;;ПОС;1
33487;2022-04-22;Глубоко во дворе 11 дома по пути к вокзалу граффити националистского содержания. Числовая комбинация «14/88» внесена Минюстом России в «Федеральный список экстремистских материалов», публичное использование данного сочетания цифр вне чисто математического контекста может рассматриваться как пропаганда нацизма;ЖКХ;Центральный;Гончарная ул 13;ПОС;1
33489;2022-04-22;Между проходной Радиевого Института и алеей Академика Лихачёва не убрана территория вдоль тротуара от листьев, мусора и палок;Дороги;Выборгский;Институтский пр-т;ПОС;1
33490;2022-04-22;Добрый день! Прошу провести освещение на новую детскую площадку между домами по адресу: пр.Стачек 138 и пр.Стачек 136,к2.В вечернее время невозможно гулять с детьми.Так же прошу установить или заменить качели для детей менее 2х лет(качель гнезд или сиденье с креплениями для маленьких, фото приложу).Детей маленько возраста много, качать их не на чем. Спасибо!Жду обратной связи;Благоустройство;Кировский;Стачек пр-т 138;ПОС;1
33491;2022-04-22;Убрать ветки, листья;Отходы;Кировский;;ПОС;1
33492;2022-04-22;Убрать ветки и мусор;Отходы;Кировский;Народного Ополчения пр-т 113В;ПОС;1
33494;2022-04-22;Добрый день, уважаемая Администрация, по адресу 5-ая Советская 35 граффити. Фото прилагается.;ЖКХ;Центральный;5-я Советская ул 35;ПОС;1
33495;2022-04-22;Полусферы требуют окраски;ЖКХ;Петродворцовый;Володи Дубинина ул 1;ПОС;1
33496;2022-04-22;много грязи и мусора;Отходы;Василеостровский;;ПОС;1
33498;2022-04-22;ошибки в квитанциях;ЖКХ;Кировский;Ленинский пр-т 134к2;ПОС;1
33499;2022-04-22;Невероятно грязно, настоящая свалка;Отходы;Приморский;;ПОС;1
33500;2022-04-22;Граффити на стене дома – реклама наркотиков.;ЖКХ;Московский;Авиационная ул 44;ПОС;1
33503;2022-04-22;"Прошу проверить актуальность договора аренды
Заявление прошу направить в ККИ";Безопасность;Калининский;Культуры пр-т 11а;ПОС;1
33512;2022-04-22;Более месяца на территории детской площадки брошен строительный забор росести ленэнерго .Территория не переведена в порядок и является опасной для детей;Благоустройство;Василеостровский;;ПОС;1
33513;2022-04-22;постоянно недобросовестные люди паркуют свои машины на газоне. Прошу выписать штраф автовладельцу;Благоустройство;Калининский;Пискаревский пр-т 37;ПОС;1
33514;2022-04-22;Люк без крышки, у самого тротуара… дети гуляют..;Дороги;Пушкинский;Сарицкая ул;ПОС;1
33516;2022-04-22;Не вывозят отходы.;Отходы;Пушкинский;;ПОС;1
33518;2022-04-22;В Красносельском районе по улице пр. ветеранов в районе дома № 189, открыт люк достаточно давно. Он полный воды, и если туда кто-то упадет, то уже не сможет выбраться. люк расположен на велосипедной дорожке, рядом проходит пешеходная зона, где гуляет очень много детей.;Энергетика;Кировский;Ветеранов пр-т 189;ПОС;1
33519;2022-04-22;Въезд во двор дома по адресу Кирилловская 15/20 со стороны 10-й Советской перегорожен цепью, закрытой на велосипедный замок. Прошу проверить законность данного ограждения, и в случае, если оно было установлено незаконно, принять меры по его демонтажу.;Благоустройство;Центральный;Кирилловская ул 15/20;ПОС;1
